,positive,negative,compound,actual_returns,target_return,Close
2022-05-31 03:20:00+00:00,53,25,0.26211594202898547,-0.0007070128706215817,-0.00109938046380742,31751.841796875
2022-05-31 03:22:00+00:00,59,24,0.3271216216216216,-0.00109938046380742,-4.0209025356063854e-05,31723.029296875
2022-05-31 03:24:00+00:00,38,11,0.36477777777777776,-4.0209025356063854e-05,-0.00021189099504526077,31717.73828125
2022-05-31 03:25:00+00:00,16,5,0.3013789473684211,-0.00021189099504526077,-0.00016001437788926154,31711.017578125
2022-05-31 03:26:00+00:00,28,6,0.47906666666666664,-0.00016001437788926154,-8.78433490665298e-05,31705.943359375
2022-05-31 03:27:00+00:00,32,11,0.317185,-8.78433490665298e-05,-0.00015885807612081582,31703.158203125
2022-05-31 03:29:00+00:00,53,24,0.3510878787878788,-0.00015885807612081582,-0.00022835025081535676,31678.61328125
2022-05-31 03:31:00+00:00,51,28,0.3486878787878788,-0.00022835025081535676,-0.00037277734973995,31673.8125
2022-05-31 03:33:00+00:00,42,30,0.2396017543859649,-0.00037277734973995,3.697142436021039e-05,31660.291015625
2022-05-31 03:35:00+00:00,52,28,0.31750579710144927,3.697142436021039e-05,-0.00034629475108249874,31645.119140625
2022-05-31 03:37:00+00:00,45,17,0.36357192982456144,-0.00034629475108249874,-1.9447626892543646e-05,31635.447265625
2022-05-31 03:38:00+00:00,12,5,0.428225,-1.9447626892543646e-05,2.4510660408649798e-05,31634.83203125
2022-05-31 03:39:00+00:00,30,17,0.278755,2.4510660408649798e-05,9.581766392452451e-05,31635.607421875
2022-05-31 03:40:00+00:00,26,10,0.3567875,9.581766392452451e-05,0.0003011917476547499,31638.638671875
2022-05-31 03:41:00+00:00,4,2,0.43998,0.0003011917476547499,3.1844260337532404e-05,31648.16796875
2022-05-31 03:42:00+00:00,60,23,0.4144929577464789,3.1844260337532404e-05,9.492967000612751e-05,31649.17578125
2022-05-31 03:44:00+00:00,63,23,0.36263013698630137,9.492967000612751e-05,0.00021297972325706738,31667.072265625
2022-05-31 03:46:00+00:00,54,26,0.22793287671232876,0.00021297972325706738,0.00010715171746067398,31672.390625
2022-05-31 03:48:00+00:00,56,24,0.32262394366197183,0.00010715171746067398,0.0007901663371279177,31683.06640625
2022-05-31 03:50:00+00:00,55,22,0.34882575757575757,0.0007901663371279177,4.812707221057977e-05,31735.646484375
2022-05-31 03:51:00+00:00,4,2,0.37367999999999996,4.812707221057977e-05,0.0007272869151804251,31737.173828125
2022-05-31 03:52:00+00:00,32,13,0.34537142857142855,0.0007272869151804251,1.7464830965430167e-05,31760.255859375
2022-05-31 03:53:00+00:00,28,12,0.3018764705882353,1.7464830965430167e-05,-1.5558186850173072e-05,31760.810546875
2022-05-31 03:54:00+00:00,0,1,-0.8442,-1.5558186850173072e-05,-0.0007377032142976692,31760.31640625
2022-05-31 03:55:00+00:00,49,23,0.26278030303030303,-0.0007377032142976692,4.793553820814367e-05,31736.88671875
2022-05-31 03:57:00+00:00,59,19,0.34338783783783783,4.793553820814367e-05,-5.155021904845736e-05,31741.73828125
2022-05-31 03:59:00+00:00,51,24,0.2961285714285714,-5.155021904845736e-05,-4.786625994701588e-05,31748.349609375
2022-05-31 04:01:00+00:00,71,28,0.4390168831168831,-4.786625994701588e-05,6.0485109033781015e-05,31743.83203125
2022-05-31 04:03:00+00:00,50,30,0.23722388059701494,6.0485109033781015e-05,-0.00011622529051247277,31743.978515625
2022-05-31 04:04:00+00:00,1,2,0.21469999999999997,-0.00011622529051247277,-6.504203918666907e-05,31740.2890625
2022-05-31 04:05:00+00:00,45,22,0.2335767857142857,-6.504203918666907e-05,6.141549421845305e-05,31738.224609375
2022-05-31 04:06:00+00:00,16,5,0.5909117647058824,6.141549421845305e-05,-0.0003447179057445293,31740.173828125
2022-05-31 04:07:00+00:00,43,13,0.40544528301886795,-0.0003447179057445293,9.110289721281362e-06,31729.232421875
2022-05-31 04:08:00+00:00,24,14,0.26239666666666667,9.110289721281362e-06,-0.00016259832242371264,31729.521484375
2022-05-31 04:10:00+00:00,62,25,0.34090714285714285,-0.00016259832242371264,0.00014979399018377748,31718.435546875
2022-05-31 04:12:00+00:00,56,27,0.3087597222222222,0.00014979399018377748,0.00012596654567187393,31741.048828125
2022-05-31 04:14:00+00:00,57,32,0.3093576923076923,0.00012596654567187393,0.00023815018366701857,31758.462890625
2022-05-31 04:16:00+00:00,65,21,0.2855025,0.00023815018366701857,-5.004819444376363e-05,31770.9375
2022-05-31 04:18:00+00:00,43,13,0.44092448979591836,-5.004819444376363e-05,-0.0002999352722712345,31764.666015625
2022-05-31 04:19:00+00:00,18,6,0.40846521739130437,-0.0002999352722712345,6.205934558689563e-05,31755.138671875
2022-05-31 04:20:00+00:00,20,13,0.18950689655172415,6.205934558689563e-05,-0.00013819494158540113,31757.109375
2022-05-31 04:21:00+00:00,41,16,0.33366399999999996,-0.00013819494158540113,-0.00018735420616655674,31752.720703125
2022-05-31 04:23:00+00:00,68,21,0.3682675,-0.00018735420616655674,-0.00017452643632576148,31747.908203125
2022-05-31 04:25:00+00:00,64,26,0.2905392405063291,-0.00017452643632576148,4.861075986251073e-05,31743.3203125
2022-05-31 04:27:00+00:00,66,27,0.3498518987341772,4.861075986251073e-05,2.82430966396241e-05,31742.84375
2022-05-31 04:29:00+00:00,57,23,0.370343661971831,2.82430966396241e-05,-0.0001610885202955048,31742.61328125
2022-05-31 04:31:00+00:00,43,20,0.31354642857142856,-0.0001610885202955048,0.00012129741338040567,31736.9453125
2022-05-31 04:32:00+00:00,12,2,0.5234076923076924,0.00012129741338040567,-5.218048269040043e-05,31740.794921875
2022-05-31 04:33:00+00:00,24,12,0.3085060606060606,-5.218048269040043e-05,5.679846556749801e-05,31739.138671875
2022-05-31 04:34:00+00:00,29,19,0.21974102564102566,5.679846556749801e-05,0.00018835344385292885,31740.94140625
2022-05-31 04:35:00+00:00,14,5,0.4117625,0.00018835344385292885,-4.466476601472369e-05,31746.919921875
2022-05-31 04:36:00+00:00,51,12,0.415925,-4.466476601472369e-05,-0.00010830953055596115,31745.501953125
2022-05-31 04:38:00+00:00,61,16,0.38537777777777776,-0.00010830953055596115,-0.0005554361521312723,31752.3359375
2022-05-31 04:40:00+00:00,68,23,0.34915802469135804,-0.0005554361521312723,-0.00048389436510276607,31724.73828125
2022-05-31 04:42:00+00:00,59,23,0.33226849315068496,-0.00048389436510276607,-0.0002442527398135441,31705.642578125
2022-05-31 04:44:00+00:00,52,25,0.22588153846153847,-0.0002442527398135441,3.527175686213191e-05,31673.712890625
2022-05-31 04:45:00+00:00,5,2,0.13617142857142858,3.527175686213191e-05,-0.00017641422578174026,31674.830078125
2022-05-31 04:46:00+00:00,42,23,0.28874716981132076,-0.00017641422578174026,5.9390728829766815e-05,31669.2421875
2022-05-31 04:47:00+00:00,27,9,0.3599137931034483,5.9390728829766815e-05,6.462906278925651e-05,31671.123046875
2022-05-31 04:48:00+00:00,19,7,0.3833913043478261,6.462906278925651e-05,0.0001536074345258598,31673.169921875
2022-05-31 04:49:00+00:00,42,13,0.40901875,0.0001536074345258598,-1.0235102777089722e-05,31678.03515625
2022-05-31 04:51:00+00:00,58,33,0.19770253164556964,-1.0235102777089722e-05,8.395476502465193e-05,31676.8125
2022-05-31 04:53:00+00:00,61,24,0.2915824324324324,8.395476502465193e-05,0.00028280776579769906,31688.25
2022-05-31 04:55:00+00:00,62,21,0.36910136986301373,0.00028280776579769906,0.00011906271758066467,31694.57421875
2022-05-31 04:57:00+00:00,56,22,0.3056057971014493,0.00011906271758066467,-0.00014156387467412213,31696.62890625
2022-05-31 05:00:00+00:00,47,33,0.17392121212121212,-0.00014156387467412213,-0.0001487339981510738,31686.70703125
2022-05-31 05:01:00+00:00,29,5,0.5014121212121213,-0.0001487339981510738,5.912023298426661e-05,31681.994140625
2022-05-31 05:02:00+00:00,41,16,0.32994081632653066,5.912023298426661e-05,-0.00021261811124095864,31683.8671875
2022-05-31 05:04:00+00:00,64,28,0.3526415584415585,-0.00021261811124095864,0.0001123290988591652,31676.021484375
2022-05-31 05:06:00+00:00,59,24,0.2727175675675676,0.0001123290988591652,1.097092366242336e-05,31683.62890625
2022-05-31 05:08:00+00:00,55,28,0.22037432432432433,1.097092366242336e-05,-0.00010553908836175019,31689.224609375
2022-05-31 05:10:00+00:00,43,26,0.21500156250000002,-0.00010553908836175019,-0.00023264237130127263,31679.23046875
2022-05-31 05:12:00+00:00,48,20,0.31848947368421054,-0.00023264237130127263,-0.0006654465989593961,31651.67578125
2022-05-31 05:13:00+00:00,19,5,0.43922380952380957,-0.0006654465989593961,0.00039808892616277625,31630.61328125
2022-05-31 05:14:00+00:00,18,11,0.23811250000000003,0.00039808892616277625,4.104603569055065e-05,31643.205078125
2022-05-31 05:15:00+00:00,30,11,0.23815263157894737,4.104603569055065e-05,0.00026996690405733936,31644.50390625
2022-05-31 05:16:00+00:00,7,5,0.26144,0.00026996690405733936,0.0005271387282523854,31653.046875
2022-05-31 05:17:00+00:00,45,17,0.3281482142857143,0.0005271387282523854,0.00044282309621213045,31669.732421875
2022-05-31 05:19:00+00:00,49,26,0.2490372881355932,0.00044282309621213045,-8.691876313471347e-06,31686.697265625
2022-05-31 05:21:00+00:00,55,26,0.28744776119402987,-8.691876313471347e-06,-0.0001323445769513265,31683.404296875
2022-05-31 05:23:00+00:00,58,28,0.2607662162162162,-0.0001323445769513265,-0.00010219801549704588,31680.96875
2022-05-31 05:25:00+00:00,58,20,0.36792,-0.00010219801549704588,0.00025607596320220694,31683.103515625
2022-05-31 05:26:00+00:00,4,0,0.265525,0.00025607596320220694,0.00020676815336573284,31691.216796875
2022-05-31 05:27:00+00:00,30,8,0.4887375,0.00020676815336573284,-0.000297364180173898,31697.76953125
2022-05-31 05:28:00+00:00,29,15,0.28793714285714284,-0.000297364180173898,-1.93495566425117e-05,31688.34375
2022-05-31 05:30:00+00:00,52,26,0.3024529411764706,-1.93495566425117e-05,-0.00027995556937532307,31694.234375
2022-05-31 05:32:00+00:00,57,24,0.3451239436619718,-0.00027995556937532307,-0.0006445370078909107,31692.583984375
2022-05-31 05:34:00+00:00,63,18,0.37400270270270275,-0.0006445370078909107,0.00027729485546501564,31661.115234375
2022-05-31 05:36:00+00:00,62,24,0.32534520547945206,0.00027729485546501564,-4.5000599802502705e-05,31676.3359375
2022-05-31 05:38:00+00:00,54,32,0.2793855072463768,-4.5000599802502705e-05,-0.0003557056793805913,31682.1796875
2022-05-31 05:39:00+00:00,2,4,-0.22215999999999997,-0.0003557056793805913,-0.0004021459459853105,31670.91015625
2022-05-31 05:40:00+00:00,45,18,0.33673859649122806,-0.0004021459459853105,-0.00011468947623805015,31658.173828125
2022-05-31 05:41:00+00:00,22,8,0.2921074074074074,-0.00011468947623805015,0.000183376127266488,31654.54296875
2022-05-31 05:42:00+00:00,9,6,0.21724999999999997,0.000183376127266488,0.00012048045607127023,31660.34765625
2022-05-31 05:43:00+00:00,48,21,0.28611864406779663,0.00012048045607127023,-1.8383481269923507e-05,31664.162109375
2022-05-31 05:45:00+00:00,65,27,0.30996341463414634,-1.8383481269923507e-05,-0.00012176381645945256,31659.974609375
2022-05-31 05:47:00+00:00,63,22,0.313555,-0.00012176381645945256,0.00014309998881856245,31643.607421875
2022-05-31 05:49:00+00:00,36,49,0.049461250000000005,0.00014309998881856245,-0.00010674658798104364,31655.802734375
2022-05-31 05:51:00+00:00,41,54,0.05469302325581396,-0.00010674658798104364,-1.0985027407595105e-05,31650.150390625
2022-05-31 05:53:00+00:00,23,15,0.22335,-1.0985027407595105e-05,0.00014583092647502127,31647.84375
2022-05-31 05:54:00+00:00,24,25,0.11921136363636364,0.00014583092647502127,0.00042052173202633547,31652.458984375
2022-05-31 05:55:00+00:00,17,14,0.24376296296296296,0.00042052173202633547,3.1394803907014435e-05,31665.76953125
2022-05-31 05:56:00+00:00,30,29,0.0573754716981132,3.1394803907014435e-05,-0.00011276029554552203,31666.763671875
2022-05-31 05:58:00+00:00,45,39,0.10756164383561645,-0.00011276029554552203,-8.489863128102737e-05,31659.28125
2022-05-31 06:00:00+00:00,52,33,0.23300657894736843,-8.489863128102737e-05,0.00010955726335959426,31652.7109375
2022-05-31 06:02:00+00:00,63,18,0.470624358974359,0.00010955726335959426,-0.0006026953270804603,31647.1640625
2022-05-31 06:04:00+00:00,52,23,0.2809955223880597,-0.0006026953270804603,7.658571967938954e-06,31622.642578125
